El caballero de la armadura oxidadd;Ficcion;2500;Robert Fisher;1/05/1987;108
Martin Fierron;Poesia;5000;15;Atonio Cerati
El misterio del faro;Misterio;1500;Ana Garcia;12/08/2023;320
La herencia perdida;Aventura;1850;Juan Martinez;05/11/2022;270
Secretos en Paris;Romance;1300;Maria Lopez;20/02/2024;400
El ultimo reino;Fantasia;1680;Carlos Ruiz;10/06/2023;380
Cocina del mundo;Cocina;800;480;Ana Garcia
Aprendiendo a volar;Autoayuda;300;300;Elena Sanchez
El codigo perdido;Ciencia ficcion;1700;480;Sofia Perez
En busca del tesoro;Aventura;1350;360;Luisa Fernandez
La casa del lago;Misterio;670;420;Javier Rodriguez
